timestamp,test_module,test_name,initial_threads,final_threads,thread_change,leaked_threads,new_thread_names,closed_thread_names,duration_seconds
2025-09-26T20:55:48.039892,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,9,7,7,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop),,3.62106
2025-09-26T20:56:00.091258,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,9,7,7,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop),,3.85161
2025-09-26T20:56:36.039430,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,8,6,6,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop),,0.373017
2025-09-26T20:56:46.177513,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,8,6,6,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop),,0.441456
2025-09-26T20:57:04.819808,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,9,7,7,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop),,3.831966
2025-09-26T20:57:26.420865,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,9,7,7,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop),,3.432511
2025-09-26T20:57:41.632088,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,9,7,7,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop),,3.572344
2025-09-26T20:59:44.833182,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,8,6,6,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop),,2.957557
2025-09-26T21:00:00.460394,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,9,7,7,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop),,3.531353
2025-09-26T21:07:19.402805,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,2,0,0,,,0.286919
